DATE,IASTHPI
2004-07-01,225.13
2004-10-01,227.65
2005-01-01,230.2
2005-04-01,233.04
2005-07-01,236.66
2005-10-01,238.59
2006-01-01,238.6
2006-04-01,240.02
2006-07-01,241.41
2006-10-01,243.35
2007-01-01,244.23
2007-04-01,246.25
2007-07-01,246.18
2007-10-01,247.6
2008-01-01,248.94
2008-04-01,247.64
2008-07-01,245.59
2008-10-01,246.74
2009-01-01,249.07
2009-04-01,247.51
2009-07-01,246.06
2009-10-01,245.47
2010-01-01,243.6
2010-04-01,244.37
2010-07-01,246.6
2010-10-01,246.57
2011-01-01,244.33
2011-04-01,242.74
2011-07-01,245.1
2011-10-01,246.14
2012-01-01,246.16
2012-04-01,246.02
